name,platform,year_of_release,genre,publisher,developer,na_sales,eu_sales,jp_sales,critic_score,user_score
Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,Rockstar North,4.76,3.69,0.44,98.0,7.5
Pokemon FireRed/Pokemon LeafGreen,GBA,2004.0,Role-Playing,Nintendo,,4.34,2.65,3.15,,
Super Mario 64,DS,2004.0,Platform,Nintendo,,5.01,3.07,1.25,,
Call of Duty: Ghosts,X360,2013.0,Shooter,Activision,Infinity Ward,6.73,2.56,0.04,73.0,2.6
Just Dance 3,Wii,2011.0,Misc,Ubisoft,Ubisoft,5.95,3.11,0.0,74.0,7.8
New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,Nintendo,3.66,3.14,2.47,78.0,7.2
Mario Kart 64,N64,1996.0,Racing,Nintendo,,5.55,1.94,2.23,,
Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,Bungie,7.04,1.95,0.08,91.0,7.9
Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment,SquareSoft,3.01,2.47,3.28,92.0,9.2
Halo 4,X360,2012.0,Shooter,Microsoft Game Studios,343 Industries,6.65,2.28,0.04,87.0,7
Gran Turismo 2,PS,1999.0,Racing,Sony Computer Entertainment,Polyphony Digital,3.88,3.42,1.69,93.0,9
Just Dance 2,Wii,2010.0,Misc,Ubisoft,Ubisoft,5.8,2.85,0.01,74.0,7.3
Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,Infinity Ward,4.1,3.63,0.38,71.0,2.6
Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,Infinity Ward,5.93,2.36,0.13,94.0,8.4
Donkey Kong Country,SNES,1994.0,Platform,Nintendo,,4.36,1.71,3.0,,
Minecraft,X360,2013.0,Misc,Microsoft Game Studios,,5.7,2.65,0.02,,
Animal Crossing: New Leaf,3DS,2012.0,Simulation,Nintendo,Nintendo,2.03,2.36,4.39,88.0,8.7
Mario Party DS,DS,2007.0,Misc,Nintendo,Hudson Soft,4.4,1.85,1.98,72.0,7.8
The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,Bethesda Game Studios,5.05,2.79,0.1,96.0,8.4
Super Mario Kart,SNES,1992.0,Racing,Nintendo,,3.54,1.24,3.81,,
FIFA 16,PS4,2015.0,Sports,Electronic Arts,EA Sports,1.12,6.12,0.06,82.0,4.3
Halo 2,XB,2004.0,Shooter,Microsoft Game Studios,Bungie Software,6.82,1.53,0.05,95.0,8.2
Wii Party,Wii,2010.0,Misc,Nintendo,Nd Cube,1.75,3.47,2.49,68.0,7.4
Mario Party 8,Wii,2007.0,Misc,Nintendo,Hudson,3.74,2.24,1.58,62.0,6.3
FIFA Soccer 13,PS3,2012.0,Action,Electronic Arts,Electronic Arts,1.06,5.01,0.13,88.0,6.6
GoldenEye 007,N64,1997.0,Shooter,Nintendo,,5.8,2.01,0.13,,
Pokemon Black 2/Pokemon White 2,DS,2012.0,Role-Playing,Nintendo,,2.79,1.72,3.14,,
Final Fantasy X,PS2,2001.0,Role-Playing,Sony Computer Entertainment,SquareSoft,2.91,2.07,2.73,92.0,8.7
The Sims 3,PC,2009.0,Simulation,Electronic Arts,The Sims Studio,0.99,6.42,0.0,86.0,7.6
Mario & Sonic at the Olympic Games,Wii,2007.0,Sports,Sega,,2.57,3.86,0.66,,
Star Wars Battlefront (2015),PS4,2015.0,Shooter,Electronic Arts,,2.99,3.49,0.22,,
Final Fantasy VIII,PS,1999.0,Role-Playing,SquareSoft,SquareSoft,2.28,1.72,3.63,90.0,8.6
Pac-Man,2600,1982.0,Puzzle,Atari,,7.28,0.45,0.0,,
Pokémon Platinum Version,DS,2008.0,Role-Playing,Nintendo,Game Freak,2.76,1.72,2.69,83.0,8.5
Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,Take-Two Interactive,Rockstar Leeds,2.9,2.81,0.24,88.0,7.6
Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,Activision,Sledgehammer Games,2.81,3.48,0.14,83.0,5.7
The Legend of Zelda: Ocarina of Time,N64,1998.0,Action,Nintendo,,4.1,1.89,1.45,,
FIFA 17,PS4,2016.0,Sports,Electronic Arts,"EA Sports, EA Vancouver",0.66,5.75,0.08,85.0,5
Crash Bandicoot 2: Cortex Strikes Back,PS,1997.0,Platform,Sony Computer Entertainment,,3.78,2.17,1.31,,
Super Smash Bros. for Wii U and 3DS,3DS,2014.0,Fighting,Nintendo,,3.27,1.37,2.43,,
Super Mario Galaxy 2,Wii,2010.0,Platform,Nintendo,Nintendo EAD Tokyo,3.56,2.35,0.98,97.0,9.1
Super Mario Bros. 2,NES,1988.0,Platform,Nintendo,,5.39,1.18,0.7,,
Call of Duty: Black Ops 3,XOne,2015.0,Shooter,Activision,,4.59,2.11,0.01,,
Call of Duty: World at War,X360,2008.0,Shooter,Activision,Treyarch,4.81,1.88,0.0,84.0,7.6
Battlefield 3,X360,2011.0,Shooter,Electronic Arts,EA DICE,4.46,2.11,0.06,84.0,7.4
Need for Speed Underground,PS2,2003.0,Racing,Electronic Arts,EA Black Box,3.27,2.83,0.08,85.0,8.6
Just Dance,Wii,2009.0,Misc,Ubisoft,Ubisoft Paris,3.48,2.99,0.0,49.0,8
Battlefield 3,PS3,2011.0,Shooter,Electronic Arts,EA DICE,2.85,2.89,0.35,85.0,7.5
Fallout 4,PS4,2015.0,Role-Playing,Bethesda Softworks,Bethesda Game Studios,2.53,3.27,0.24,87.0,6.5
Tekken 3,PS,1998.0,Fighting,Sony Computer Entertainment,Namco,3.27,2.22,1.4,96.0,9.1
The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,Nintendo,Nintendo,3.74,2.14,0.6,95.0,9
Pokemon Sun/Moon,3DS,2016.0,Role-Playing,Nintendo,,2.98,1.45,2.26,,
Crash Bandicoot 3: Warped,PS,1998.0,Platform,Sony Computer Entertainment,Naughty Dog,3.68,1.75,1.42,91.0,8.9
Mario Kart 8,WiiU,2014.0,Racing,Nintendo,Nintendo,3.15,2.15,1.28,88.0,9.1
Super Smash Bros. Melee,GC,2001.0,Fighting,Nintendo,HAL Labs,4.41,1.04,1.39,92.0,9.1
Mario Kart: Double Dash!!,GC,2003.0,Racing,Nintendo,,4.12,1.77,0.87,,
Need for Speed Underground 2,PS2,2004.0,Racing,Electronic Arts,EA Canada,2.71,3.02,0.08,82.0,8.6
Medal of Honor: Frontline,PS2,2002.0,Shooter,Electronic Arts,EA LA,2.93,2.75,0.17,88.0,8.5
Crash Bandicoot,PS,1996.0,Platform,Sony Computer Entertainment,,3.23,2.35,0.94,,
Just Dance 4,Wii,2012.0,Misc,Ubisoft,Ubisoft,4.05,2.16,0.0,74.0,7.3
Gears of War 2,X360,2008.0,Shooter,Microsoft Game Studios,Epic Games,4.15,1.9,0.06,93.0,7.7
Uncharted 3: Drake's Deception,PS3,2011.0,Action,Sony Computer Entertainment,Naughty Dog,2.77,2.75,0.19,92.0,8.3
Zumba Fitness,Wii,2010.0,Sports,505 Games,"Pipeworks Software, Inc.",3.45,2.59,0.0,,tbd
Call of Duty 4: Modern Warfare,PS3,2007.0,Shooter,Activision,Infinity Ward,3.11,2.26,0.28,94.0,8.4
Uncharted 2: Among Thieves,PS3,2009.0,Action,Sony Computer Entertainment,Naughty Dog,3.27,2.2,0.21,96.0,8.8
FIFA 12,PS3,2011.0,Sports,Electronic Arts,,0.84,4.3,0.11,,
Big Brain Academy,DS,2005.0,Misc,Nintendo,Nintendo,1.66,2.75,1.6,74.0,7.4
The Legend of Zelda,NES,1986.0,Action,Nintendo,,3.74,0.93,1.69,,
Red Dead Redemption,PS3,2010.0,Action,Take-Two Interactive,Rockstar San Diego,2.79,2.53,0.17,95.0,8.8
FIFA 14,PS3,2013.0,Sports,Electronic Arts,EA Canada,0.78,4.24,0.07,86.0,4.3
Assassin's Creed III,PS3,2012.0,Action,Ubisoft,Ubisoft,2.64,2.52,0.16,85.0,6.9
Donkey Kong Country Returns,Wii,2010.0,Platform,Nintendo,Retro Studios,3.17,1.79,1.03,87.0,8.6
Halo: Combat Evolved,XB,2001.0,Shooter,Microsoft Game Studios,Bungie Software,4.98,1.3,0.08,97.0,8.6
The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,Bethesda Softworks,Bethesda Game Studios,2.55,2.6,0.25,92.0,6.4
Pokémon Emerald Version,GBA,2004.0,Role-Playing,Nintendo,Game Freak,2.57,1.58,2.06,76.0,9
Kingdom Hearts,PS2,2002.0,Role-Playing,Sony Computer Entertainment,SquareSoft,3.64,1.2,1.49,85.0,8.8
Pokémon Crystal Version,GB,2000.0,Role-Playing,Nintendo,,2.55,1.56,1.29,,
Halo 3: ODST,X360,2009.0,Shooter,Microsoft Game Studios,"Bungie Software, Bungie",4.34,1.34,0.06,83.0,7.1
Red Dead Redemption,X360,2010.0,Action,Take-Two Interactive,Rockstar San Diego,3.7,1.95,0.09,95.0,9
Super Mario Sunshine,GC,2002.0,Platform,Nintendo,Nintendo,4.01,1.26,0.87,92.0,8.6
Street Fighter II: The World Warrior,SNES,1992.0,Fighting,Capcom,,2.47,0.83,2.87,,
World of Warcraft,PC,2004.0,Role-Playing,Activision,Blizzard Entertainment,0.08,6.21,0.0,93.0,7.3
Driver,PS,1999.0,Action,GT Interactive,Reflections Interactive,3.11,2.8,0.02,87.0,8.1
Gears of War 3,X360,2011.0,Shooter,Microsoft Game Studios,Epic Games,4.05,1.59,0.07,91.0,7.8
Kinect Sports,X360,2010.0,Sports,Microsoft Game Studios,Rare Ltd.,3.92,1.73,0.03,73.0,7.4
Gears of War,X360,2006.0,Shooter,Microsoft Game Studios,Epic Games,3.54,1.88,0.07,94.0,8.3
FIFA 15,PS4,2014.0,Sports,Electronic Arts,EA Sports,0.8,4.33,0.05,82.0,5.7
Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,Konami Digital Entertainment,KCEJ,2.45,2.01,0.87,96.0,8.7
Sonic the Hedgehog 2,GEN,1992.0,Platform,Sega,,4.47,1.2,0.16,,
Metal Gear Solid,PS,1998.0,Action,Konami Digital Entertainment,KCEJ,3.18,1.83,0.78,94.0,9.4
Metal Gear Solid 4: Guns of the Patriots,PS3,2008.0,Action,Konami Digital Entertainment,Kojima Productions,2.63,1.71,0.83,94.0,8.7
Final Fantasy XII,PS2,2006.0,Role-Playing,Square Enix,Square Enix,1.88,0.0,2.33,92.0,7.6
The Last of Us,PS3,2013.0,Action,Sony Computer Entertainment Europe,Naughty Dog,2.41,2.18,0.28,95.0,9.1
LittleBigPlanet,PS3,2008.0,Platform,Sony Computer Entertainment,"SCE/WWS, Media Molecule",2.8,1.98,0.17,95.0,6.8
Resident Evil 2,PS,1998.0,Action,Virgin Interactive,Capcom,1.88,1.47,2.02,89.0,9.2
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009.0,Role-Playing,Nintendo,Level 5,0.63,0.67,4.35,87.0,8.8
Tekken 2,PS,1996.0,Fighting,Sony Computer Entertainment,Namco,2.26,1.89,1.36,89.0,8.9
Destiny,PS4,2014.0,Shooter,Activision,"Bungie Software, Bungie",2.49,2.07,0.16,76.0,6.1
LEGO Star Wars: The Complete Saga,Wii,2007.0,Action,LucasArts,Traveller's Tales,3.57,1.55,0.0,80.0,8.9
Cooking Mama,DS,2006.0,Simulation,505 Games,Taito Corporation,3.07,1.91,0.07,67.0,7.2
Tetris,NES,1988.0,Puzzle,Nintendo,,2.97,0.69,1.81,,
Super Smash Bros.,N64,1999.0,Fighting,Nintendo,,2.95,0.6,1.97,,
Assassin's Creed II,PS3,2009.0,Action,Ubisoft,Ubisoft Montreal,2.54,1.93,0.21,91.0,8.6
Assassin's Creed,X360,2007.0,Adventure,Ubisoft,Ubisoft Montreal,3.28,1.64,0.07,81.0,7.7
Forza Motorsport 3,X360,2009.0,Racing,Microsoft Game Studios,Turn 10,2.99,1.9,0.1,92.0,8
Super Mario Advance,GBA,2001.0,Platform,Nintendo,Nintendo,3.14,1.24,0.91,84.0,7.8
Monster Hunter Freedom Unite,PSP,2008.0,Role-Playing,Capcom,Capcom,0.47,0.55,4.13,81.0,8.7
Batman: Arkham City,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,Rocksteady Studios,2.71,1.85,0.11,96.0,8.6
Grand Theft Auto V,XOne,2014.0,Action,Take-Two Interactive,Rockstar North,2.81,2.19,0.0,97.0,7.9
Mario Kart: Super Circuit,GBA,2001.0,Racing,Nintendo,Intelligent Systems,2.62,1.64,0.99,93.0,8.3
Super Mario World,GBA,2001.0,Platform,Nintendo,,3.21,1.11,0.95,,
Pokemon Stadium,N64,1999.0,Strategy,Nintendo,,3.18,1.24,0.94,,
Crash Bandicoot: The Wrath of Cortex,PS2,2001.0,Platform,Universal Interactive,Traveller's Tales,2.07,2.29,0.24,66.0,7.1
Call of Duty: World at War,PS3,2008.0,Shooter,Activision,Treyarch,2.73,1.83,0.0,85.0,7.6
Uncharted 4: A Thief's End,PS4,2016.0,Shooter,Sony Computer Entertainment,Naughty Dog,1.85,2.5,0.19,93.0,7.9
Dr. Mario,GB,1989.0,Puzzle,Nintendo,,2.18,0.96,2.0,,
Final Fantasy XIII,PS3,2009.0,Role-Playing,Square Enix,Square Enix,1.74,1.21,1.87,83.0,7.3
Pokemon Pinball,GB,1999.0,Misc,Nintendo,,3.02,1.12,1.01,,
Final Fantasy IX,PS,2000.0,Role-Playing,SquareSoft,SquareSoft,1.62,0.77,2.78,94.0,8.9
Assassin's Creed III,X360,2012.0,Action,Ubisoft,Ubisoft,3.13,1.69,0.03,84.0,6.7
Final Fantasy X-2,PS2,2003.0,Role-Playing,Electronic Arts,SquareSoft,1.92,1.08,2.11,85.0,6.6
Donkey Kong 64,N64,1999.0,Platform,Nintendo,,3.33,0.79,1.09,,
Call of Duty: Advanced Warfare,XOne,2014.0,Shooter,Activision,Sledgehammer Games,3.22,1.55,0.01,81.0,5.4
Minecraft,PS3,2014.0,Misc,Sony Computer Entertainment,,2.03,2.37,0.0,,
Assassin's Creed II,X360,2009.0,Action,Ubisoft,Ubisoft Montreal,3.11,1.55,0.08,90.0,8.8
Tomb Raider II,PS,1997.0,Action,Eidos Interactive,Core Design Ltd.,2.3,2.46,0.2,85.0,
Madden NFL 2004,PS2,,Sports,Electronic Arts,EA Tiburon,4.26,0.26,0.01,94.0,8.5
Tomodachi Life,3DS,2013.0,Simulation,Nintendo,,0.97,2.11,1.9,,
New Super Mario Bros. U,WiiU,2012.0,Platform,Nintendo,Nintendo,2.3,1.34,1.27,84.0,8.1
Dragon Quest VIII: Journey of the Cursed King,PS2,2004.0,Role-Playing,Square Enix,Level 5,0.65,0.75,3.61,89.0,8.8
Super Mario Bros. 3,GBA,2003.0,Platform,Nintendo,,2.93,1.25,0.83,,
Professor Layton and the Curious Village,DS,2007.0,Puzzle,Nintendo,Level 5,1.21,2.43,1.03,85.0,8.6
Super Mario Land 3: Wario Land,GB,1994.0,Platform,Nintendo,,2.49,0.98,1.57,,
FIFA Soccer 13,X360,2012.0,Action,Electronic Arts,Electronic Arts,1.09,3.47,0.03,90.0,6.1
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995.0,Platform,Nintendo,,2.1,0.74,2.2,,
Diablo III,PC,2012.0,Role-Playing,Activision,Blizzard Entertainment,2.44,2.16,0.0,88.0,4
Medal of Honor: Rising Sun,PS2,2003.0,Shooter,Electronic Arts,EA LA,1.98,2.23,0.13,68.0,7.6
Kirby's Dream Land,GB,1992.0,Platform,Nintendo,,2.71,0.61,1.7,,
Microsoft Flight Simulator,PC,1996.0,Simulation,Microsoft Game Studios,,3.22,1.69,0.0,,
Guitar Hero II,PS2,2006.0,Misc,RedOctane,Harmonix Music Systems,3.81,0.63,0.0,92.0,8.5
Fable III,X360,2010.0,Role-Playing,Microsoft Game Studios,Lionhead Studios,3.59,1.08,0.05,80.0,6.5
Mario & Sonic at the Olympic Games,DS,2008.0,Sports,Sega,,1.63,2.45,0.44,,
Resident Evil 5,PS3,2009.0,Action,Capcom,Capcom,1.96,1.41,1.08,84.0,7.5
The Legend of Zelda: Phantom Hourglass,DS,2007.0,Action,Nintendo,Nintendo,1.85,1.8,0.95,90.0,8
Super Mario Bros.,GB,1999.0,Platform,Nintendo,,3.4,1.3,0.15,,
FIFA Soccer 11,PS3,2010.0,Sports,Electronic Arts,EA Sports,0.61,3.28,0.06,89.0,8
Resident Evil,PS,1996.0,Action,Virgin Interactive,Capcom,2.05,1.16,1.11,91.0,9
Grand Theft Auto: Vice City Stories,PSP,2006.0,Action,Take-Two Interactive,Rockstar Leeds,1.7,1.99,0.16,86.0,8
Tony Hawk's Pro Skater,PS,1999.0,Sports,Activision,Neversoft Entertainment,3.42,1.38,0.02,92.0,9.2
Warzone 2100,PS,1999.0,Strategy,Eidos Interactive,,2.79,1.89,0.0,,
Spyro the Dragon,PS,1998.0,Platform,Sony Computer Entertainment,,3.36,1.36,0.07,,
Guitar Hero III: Legends of Rock,PS2,2007.0,Misc,Activision,"Neversoft Entertainment, BudCat",3.49,0.01,0.01,82.0,8.2
Link's Crossbow Training,Wii,2007.0,Shooter,Nintendo,Nintendo,3.05,1.17,0.29,68.0,7.1
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007.0,Role-Playing,Nintendo,,1.83,1.19,1.54,,
Fallout 3,X360,2008.0,Role-Playing,Bethesda Softworks,Bethesda Game Studios,3.4,0.99,0.09,93.0,8.5
Uncharted: Drake's Fortune,PS3,2007.0,Action,Sony Computer Entertainment,"Naughty Dog, SCE/WWS",2.31,1.72,0.12,88.0,8.1
Madden NFL 06,PS2,2005.0,Sports,Electronic Arts,EA Sports,3.98,0.26,0.01,88.0,8
Diddy Kong Racing,N64,1997.0,Racing,Nintendo,,2.91,0.99,0.89,,
Monster Hunter Freedom 3,PSP,2010.0,Role-Playing,Capcom,,0.0,0.0,4.87,,
Super Smash Bros. for Wii U and 3DS,WiiU,2014.0,Fighting,Nintendo,,2.6,1.08,0.81,,
Dr. Mario,NES,1990.0,Puzzle,Nintendo,,2.62,0.6,1.52,,
StarCraft II: Wings of Liberty,PC,2010.0,Strategy,Activision,Blizzard Entertainment,2.57,1.68,0.0,93.0,8.2
Assassin's Creed,PS3,2007.0,Adventure,Ubisoft,Ubisoft Montreal,1.91,2.0,0.09,81.0,7.3
God of War III,PS3,2010.0,Action,Sony Computer Entertainment,SCE Santa Monica,2.74,1.33,0.12,92.0,8.7
Crash Team Racing,PS,1999.0,Racing,Sony Computer Entertainment,Naughty Dog,2.57,1.57,0.44,88.0,9
LEGO Star Wars: The Complete Saga,DS,2007.0,Action,LucasArts,TT Fusion,2.83,1.48,0.0,80.0,5.4
Driver 2,PS,2000.0,Action,Atari,Reflections Interactive,2.36,2.1,0.02,62.0,7.7
Batman: Arkham City,X360,2011.0,Action,Warner Bros. Interactive Entertainment,Rocksteady Studios,2.99,1.27,0.04,94.0,8.7
The Last of Us,PS4,2014.0,Action,Sony Computer Entertainment,,1.88,2.0,0.07,,
The Simpsons: Hit & Run,PS2,2003.0,Racing,Vivendi Games,,1.73,2.19,0.0,,
Tony Hawk's Pro Skater 2,PS,2000.0,Sports,Activision,Neversoft Entertainment,3.05,1.41,0.02,98.0,7.7
The Lord of the Rings: The Two Towers,PS2,2002.0,Action,Electronic Arts,Stormfront Studios,1.94,1.95,0.08,82.0,8.2
Tomb Raider,PS,1996.0,Action,Eidos Interactive,Core Design Ltd.,2.29,1.97,0.13,91.0,8.6
Animal Crossing: City Folk,Wii,2008.0,Simulation,Nintendo,Nintendo,1.82,1.12,1.32,73.0,7.6
Uncharted: The Nathan Drake Collection,PS4,2015.0,Action,Sony Computer Entertainment,Bluepoint Games,2.07,1.71,0.08,86.0,8.1
The Legend of Zelda: A Link to the Past,SNES,1991.0,Action,Nintendo,,2.42,0.91,1.15,,
The Legend of Zelda: The Wind Waker,GC,2002.0,Action,Nintendo,Nintendo,2.6,0.99,0.89,96.0,8.9
Guitar Hero III: Legends of Rock,Wii,2007.0,Misc,Activision,Vicarious Visions,3.04,1.11,0.0,86.0,8.4
Luigi's Mansion: Dark Moon,3DS,2013.0,Action,Nintendo,Next Level Games,1.8,1.39,1.11,86.0,8.4
Forza Motorsport 4,X360,2011.0,Racing,Microsoft Game Studios,Turn 10,2.08,1.97,0.06,91.0,8.2
Mario & Sonic at the Olympic Winter Games,Wii,2009.0,Sports,Sega,,1.87,1.96,0.22,,
Madden NFL 2005,PS2,2004.0,Sports,Electronic Arts,EA Tiburon,4.18,0.26,0.01,91.0,7.9
Guitar Hero III: Legends of Rock,X360,2007.0,Misc,Activision,Neversoft Entertainment,3.19,0.91,0.01,85.0,7.9
Pitfall!,2600,1981.0,Platform,Activision,,4.21,0.24,0.0,,
Madden NFL 07,PS2,2006.0,Sports,Electronic Arts,EA Sports,3.63,0.24,0.01,84.0,8.2
Halo 5: Guardians,XOne,2015.0,Shooter,Microsoft Game Studios,343 Industries,2.78,1.27,0.03,84.0,6.4
Spider-Man: The Movie,PS2,2002.0,Action,Activision,Treyarch,2.71,1.51,0.03,76.0,7.9
Dragon Quest VII: Warriors of Eden,PS,2000.0,Role-Playing,Enix Corporation,,0.2,0.14,4.1,,
